what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.ui",1263390337682
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.monitor.ui",1263390337683
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui",1263390337692
started,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.team.ui",1263390337706
started,bundle,org.eclipse.emf.validation,1.3.0.v200901271722,"org.eclipse.emf.validation",1263390337706
started,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1263390337725
started,bundle,org.eclipse.uml2.diagram.common,0.9.0.v200906190654,"org.eclipse.uml2.diagram.common",1263390337737
started,bundle,org.eclipse.uml2.uml,3.0.1.v200908281330,"org.eclipse.uml2.uml",1263390337748
os,sysinfo,,,"linux",1263390337755
arch,sysinfo,,,"x86_64",1263390337755
ws,sysinfo,,,"gtk",1263390337755
locale,sysinfo,,,"pt_BR",1263390337755
processors,sysinfo,,,"2",1263390337756
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1263390337756
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1263390337756
java.specification.name,sysinfo,,,"Java Platform API Specification",1263390337756
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1263390337756
java.specification.version,sysinfo,,,"1.6",1263390337756
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1263390337756
java.version,sysinfo,,,"1.6.0_15",1263390337756
java.vm.info,sysinfo,,,"mixed mode",1263390337756
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1263390337756
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1263390337756
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1263390337756
java.vm.specification.version,sysinfo,,,"1.0",1263390337756
