what,kind,bundleId,bundleVersion,description,time
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1262958001378
java.vm.specification.version,sysinfo,,,"1.0",1262958001378
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1262958001378
java.vm.version,sysinfo,,,"14.1-b02",1262958001378
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1262958002205
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1262958002246
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1262958002281
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262958009726
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1262958013691
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.ide.ant",1262958014806
stopped,bundle,org.eclipse.uml2.diagram.codegen.edit,0.9.0.v200906190654,"org.eclipse.uml2.diagram.codegen.edit",1262958014831
stopped,bundle,org.eclipse.uml2.diagram.codegen,0.9.0.v200906190654,"org.eclipse.uml2.diagram.codegen",1262958014851
stopped,bundle,org.eclipse.gmf.codegen.ui,1.1.100.v20090424-1042,"org.eclipse.gmf.codegen.ui",1262958014912
stopped,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1262958014913
stopped,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1262958014966
stopped,bundle,org.eclipse.mylyn.java.tasks,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.java.tasks",1262958015007
stopped,bundle,org.eclipse.mylyn.java.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.java.ui",1262958015072
