what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.commons.ui",1262958001293
started,bundle,org.eclipse.mylyn.context.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.core",1262958001301
started,bundle,org.eclipse.mylyn.context.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.ui",1262958001304
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.monitor.ui",1262958001305
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui",1262958001314
started,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.team.ui",1262958001328
started,bundle,org.eclipse.emf.validation,1.3.0.v200901271722,"org.eclipse.emf.validation",1262958001328
started,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1262958001347
started,bundle,org.eclipse.uml2.diagram.common,0.9.0.v200906190654,"org.eclipse.uml2.diagram.common",1262958001359
started,bundle,org.eclipse.uml2.uml,3.0.1.v200908281330,"org.eclipse.uml2.uml",1262958001369
os,sysinfo,,,"linux",1262958001378
arch,sysinfo,,,"x86_64",1262958001378
ws,sysinfo,,,"gtk",1262958001378
locale,sysinfo,,,"pt_BR",1262958001378
processors,sysinfo,,,"2",1262958001378
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1262958001378
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1262958001378
java.specification.name,sysinfo,,,"Java Platform API Specification",1262958001378
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1262958001378
java.specification.version,sysinfo,,,"1.6",1262958001378
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1262958001378
java.version,sysinfo,,,"1.6.0_15",1262958001378
java.vm.info,sysinfo,,,"mixed mode",1262958001378
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1262958001378
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1262958001378
